"","X.1","X","time","DOYtime","flux","soilT_T","VSM_T","doy","DAMM14","predict14"
"629",629,629,"2014-05-27 12",147.519096666667,150.348333333333,13.5333333333333,0.25,147,88.6818842082691,92.2765873686275
"630",630,630,"2014-05-27 13",147.561806,155.558,13.68,0.25,147,90.0672772650948,93.6615453487341
"631",631,631,"2014-05-27 14",147.60139,155.77,13.8,0.25,147,91.2157882580668,94.7946927870028
"632",632,632,"2014-05-27 15",147.644096666667,113.14,13.9333333333333,0.25,147,92.5079471471295,96.05374549619
"633",633,633,"2014-05-27 16",147.686806,108.338,14,0.25,147,93.1604183565775,96.683271850784
"634",634,634,"2014-05-27 17",147.72639,125.808,13.92,0.25,147,92.3779661139027,95.9278402252715
"635",635,635,"2014-05-27 18",147.769096666667,108.553333333333,13.7666666666667,0.25,147,90.8953929193319,94.4799296097062
"636",636,636,"2014-05-27 19",147.811806,103.656,13.56,0.25,147,88.9322840506982,92.5283979104653
"637",637,637,"2014-05-27 20",147.85139,125.824,13.38,0.25,147,87.2548176148894,90.8286767530622
"638",638,638,"2014-05-27 21",147.894096666667,116.046666666667,13.1166666666667,0.25,147,84.8539235562948,88.3420476524173
"639",639,639,"2014-05-27 22",147.936806,109.452,12.86,0.254,147,84.011130848965,87.7499305023895
"640",640,640,"2014-05-27 23",147.9783,118.86,12.4,0.26,147,81.9400446286116,86.1535376284304
"641",641,641,"2014-05-28 00",148.019096666667,115.305,12.1666666666667,0.26,148,79.9257022004076,83.9501953873527
"642",642,642,"2014-05-28 01",148.061806,119.292,12.02,0.26,148,78.6833270509516,82.5652374072461
"643",643,643,"2014-05-28 02",148.1033,105.6025,11.55,0.275,148,78.7114163452304,84.9954240392046
"644",644,644,"2014-05-28 03",148.144096666667,104.003333333333,11.2666666666667,0.28,148,77.4417247111218,84.6093861761296
"645",645,645,"2014-05-28 04",148.186806,104.766,11.16,0.274,148,75.2583038914904,80.8548050360415
"646",646,646,"2014-05-28 05",148.2283,101.1025,11.1,0.27,148,73.8459891096212,78.4566720017487
"647",647,647,"2014-05-28 06",148.269096666667,105.791666666667,11,0.27,148,73.0556606236517,77.5123824698581
"648",648,648,"2014-05-28 07",148.311806,97.28,10.94,0.27,148,72.5852654563097,76.9458087507237
"649",649,649,"2014-05-28 08",148.35139,124.064,10.82,0.27,148,71.6529552632718,75.812661312455
"650",650,650,"2014-05-28 09",148.391666,96.668,10.78,0.27,148,71.3446806803732,75.4349454996987
"651",651,651,"2014-05-28 10",148.436806,91.436,10.7,0.27,148,70.73184684813,74.6795138741862
"652",652,652,"2014-05-28 11",148.47639,102.626,10.7,0.27,148,70.73184684813,74.6795138741862
"653",653,653,"2014-05-28 12",148.519096666667,98.59,10.7,0.27,148,70.73184684813,74.6795138741862
"654",654,654,"2014-05-28 13",148.561806,99.888,10.7,0.27,148,70.73184684813,74.6795138741862
"655",655,655,"2014-05-28 14",148.60139,103.456,10.64,0.27,148,70.2754542064396,74.1129401550519
"656",656,656,"2014-05-28 15",148.644096666667,102.105,10.6,0.27,148,69.972723223344,73.7352243422956
"657",657,657,"2014-05-28 16",148.6866325,77.29,10.55,0.27,148,69.5960235798622,73.2630795763503
"658",658,658,"2014-05-28 17",148.72338,87.47,10.5,0.27,148,69.2212201738089,72.790934810405
"659",659,659,"2014-05-28 18",148.769096666667,108.35,10.5,0.27,148,69.2212201738089,72.790934810405
"660",660,660,"2014-05-28 19",148.811806,94.174,10.44,0.27,148,68.7739466497056,72.2243610912706
"661",661,661,"2014-05-28 20",148.85139,126.942,10.4,0.264,148,67.0934637756242,69.0993063057767
"662",662,662,"2014-05-28 21",148.894096666667,136.52,10.3,0.26,148,65.3985147936767,66.3234574587276
"663",663,663,"2014-05-28 22",148.936806,108.988,10.24,0.26,148,64.9753470466641,65.7568837395932
"664",664,664,"2014-05-28 23",148.97639,126.572,10.2,0.26,148,64.694658694217,65.379167926837
"665",665,665,"2014-05-29 00",149.019096666667,125.498333333333,10.1,0.26,149,63.9978889154853,64.4348783949464
"666",666,666,"2014-05-29 01",149.061806,114.456,10,0.26,149,63.3081392144123,63.4905888630557
"667",667,667,"2014-05-29 02",149.10139,144.014,9.92,0.26,149,62.7613497578171,62.7351572375432
"668",668,668,"2014-05-29 03",149.144096666667,122.116666666667,9.78333333333333,0.26,149,61.8374521680346,61.444628210626
"669",669,669,"2014-05-29 04",149.186806,112.436,9.7,0.26,149,61.2803566625054,60.6577202673839
"670",670,670,"2014-05-29 05",149.22639,129.08,9.56,0.26,149,60.3549867489847,59.3357149227371
"671",671,671,"2014-05-29 06",149.269096666667,117.893333333333,9.43333333333333,0.26,149,59.5290205149315,58.1396148490089
"672",672,672,"2014-05-29 07",149.311806,104.858,9.34,0.26,149,58.9271895382934,57.2582779525777
"673",673,673,"2014-05-29 08",149.35139,118.184,9.26,0.26,149,58.4158671927902,56.5028463270652
"674",674,674,"2014-05-29 09",149.394096666667,99.2616666666667,9.33333333333333,0.26,149,58.8844200366455,57.1953253171183
"675",675,675,"2014-05-29 10",149.436806,85.936,9.5,0.26,149,59.9624129842932,58.7691412036027
"676",676,676,"2014-05-29 11",149.47639,101.508,9.72,0.26,149,61.4136300129706,60.846578173762
"677",677,677,"2014-05-29 12",149.519096666667,92.99,10.0166666666667,0.26,149,63.422612786622,63.6479704517045
