"","X.1","X","time","DOYtime","flux","soilT_T","VSM_T","doy","DAMM13","predict13"
"1",1,1,"2013-04-18 08",108.36806,28.32,5.7,0.24,108,36.074256364016,13.728342415967
"2",2,2,"2013-04-18 09",108.393056,31.004,5.76,0.24,108,36.3169363199178,14.2949161351014
"3",3,3,"2013-04-18 10",108.43264,28.812,5.9,0.24,108,36.8891437825947,15.6169214797482
"4",4,4,"2013-04-18 11",108.47743,38.4333333333333,6.16666666666667,0.24,108,38.0024749406881,18.1350268981232
"5",5,5,"2013-04-18 12",108.520138,40.348,6.54,0.24,108,39.6140405286962,21.6603744838481
"6",6,6,"2013-04-18 13",108.559722,45.686,6.96,0.24,108,41.5033916061916,25.6263905177887
"7",7,7,"2013-04-18 14",108.59861,39.464,7.38,0.24,108,43.4767874547841,29.5924065517293
"8",8,8,"2013-04-18 15",108.650463333333,26.4933333333333,7.66666666666667,0.24,108,44.8737386573772,32.2993698764824
"9",9,9,"2013-04-18 16",108.68316,21.2075,7.775,0.24,108,45.4125026237926,33.3223502026972
"10",10,10,"2013-04-18 17",108.72743,35.1783333333333,7.9,0.24,108,46.0416697058388,34.5027121175605
"11",11,11,"2013-04-18 18",108.770138,35.096,7.92,0.24,108,46.1430898330106,34.6915700239386
"12",12,12,"2013-04-18 19",108.809895,29.44,7.9,0.24,108,46.0416697058388,34.5027121175605
"13",13,13,"2013-04-18 20",108.851388,24.308,7.82,0.24,108,45.6380705020949,33.747280492048
"14",14,14,"2013-04-18 21",108.895138,29.998,7.74,0.23,108,42.8118395285862,28.4129505786393
"15",15,15,"2013-04-18 22",108.934722,27.514,7.62,0.23,108,42.2494294675834,27.2798031403706
"16",16,16,"2013-04-18 23",108.961805,28.935,7.6,0.23,108,42.1563690660336,27.0909452339924
"17",17,17,"2013-04-19 00",109.020138,35.36,7.5,0.23,109,41.693936171161,26.1466557021018
"18",18,18,"2013-04-19 01",109.059722,39.18,7.5,0.23,109,41.693936171161,26.1466557021018
"19",19,19,"2013-04-19 02",109.086805,36.32,7.4,0.23,109,41.2362516692934,25.2023661702112
"20",20,20,"2013-04-19 03",109.145138,39.354,7.4,0.23,109,41.2362516692934,25.2023661702112
"21",21,21,"2013-04-19 04",109.184722,40.366,7.38,0.23,109,41.1452805818514,25.0135082638331
"22",22,22,"2013-04-19 05",109.211805,39.02,7.35,0.23,109,41.0091758910477,24.7302214042659
"23",23,23,"2013-04-19 06",109.274305,35.375,7.375,0.23,109,41.1225671617996,24.9662937872386
"24",24,24,"2013-04-19 07",109.309722,34.208,7.46,0.23,109,41.5102951095179,25.7689398893456
"25",25,25,"2013-04-19 08",109.336805,37.785,7.5,0.23,109,41.693936171161,26.1466557021018
"26",26,26,"2013-04-19 09",109.395138,43.36,7.78,0.23,109,43.0008603928087,28.7906663913955
"27",27,27,"2013-04-19 10",109.434722,35.806,7.96,0.23,109,43.861154755019,30.4903875487986
"28",28,28,"2013-04-19 11",109.461805,46.925,8.15,0.23,109,44.7866906435191,32.2845376593908
"29",29,29,"2013-04-19 12",109.519096666667,43.7666666666667,8.46666666666667,0.23,109,46.3699504578246,35.2747878437111
"30",30,30,"2013-04-19 13",109.561806,47.64,8.86,0.23,109,48.4094234980254,38.9889933358141
"31",31,31,"2013-04-19 14",109.58681,36.44,9,0.23,109,49.1553591729565,40.310998680461
"32",32,32,"2013-04-19 15",109.6501725,50.63,9.65,0.23,109,52.7615790643146,46.44888063775
"33",33,33,"2013-04-19 16",109.686806,55.958,9.86,0.23,109,53.9785502640764,48.4318886547203
"34",34,34,"2013-04-19 17",109.71181,48.61,9.9,0.23,109,54.2133092586383,48.8096044674765
"35",35,35,"2013-04-19 18",109.769096666667,46.07,10.0166666666667,0.23,109,54.9034864467127,49.9112755880159
"36",36,36,"2013-04-19 19",109.811806,51.912,10.1,0.23,109,55.4014896628594,50.6981835312577
"37",37,37,"2013-04-19 20",109.83681,27.88,10.1,0.23,109,55.4014896628594,50.6981835312577
"38",38,38,"2013-04-19 21",109.894096666667,41.645,10.0833333333333,0.23,109,55.3015524596138,50.540801942609
"39",39,39,"2013-04-19 22",109.936806,40.98,10.1,0.23,109,55.4014896628594,50.6981835312577
"40",40,40,"2013-04-19 23",109.96181,25.18,10.1,0.23,109,55.4014896628594,50.6981835312577
"41",41,41,"2013-04-20 00",110.019096666667,51.1066666666667,10.4666666666667,0.28,110,71.0464443902085,77.0550699210047
"42",42,42,"2013-04-20 01",110.061806,68.278,10.56,0.28,110,71.7662692885845,77.9364068174356
"43",43,43,"2013-04-20 02",110.08681,55.31,10.6,0.28,110,72.0768476355557,78.3141226301918
"44",44,44,"2013-04-20 03",110.144096666667,58.1283333333333,10.3666666666667,0.29,110,72.0268070494166,80.6896786770102
"45",45,45,"2013-04-20 04",110.186806,50.58,10.1,0.298,110,71.1204538863369,81.8346918889519
"46",46,46,"2013-04-20 05",110.21181,42.21,10,0.31,110,71.7052466509089,86.3850803025368
"47",47,47,"2013-04-20 06",110.269096666667,46.2683333333333,9.58333333333333,0.31,110,68.5340430316989,82.4505405863258
"48",48,48,"2013-04-20 07",110.311806,51.204,9.3,0.31,110,66.4530520030817,79.7750535793025
"49",49,49,"2013-04-20 08",110.33681,33.68,9.2,0.31,110,65.732799806758,78.8307640474119
"50",50,50,"2013-04-20 09",110.394096666667,50.8883333333333,8.86666666666667,0.3,110,62.4140499355245,71.104233986547
"51",51,51,"2013-04-20 10",110.436806,41.966,8.8,0.3,110,61.9609163964714,70.4747076319532
"52",52,52,"2013-04-20 11",110.46181,25.52,8.8,0.3,110,61.9609163964714,70.4747076319532
"53",53,53,"2013-04-20 12",110.519096666667,42.5883333333333,8.86666666666667,0.29,110,61.1907319895641,66.5253356986508
"54",54,54,"2013-04-20 13",110.561806,45.674,8.96,0.29,110,61.8177907621807,67.406672595082
"55",55,55,"2013-04-20 14",110.58681,32.98,9,0.29,110,62.088365306692,67.7843884078382
"56",56,56,"2013-04-20 15",110.644096666667,53.6,9.28333333333333,0.28,110,62.4862372085392,65.8809771269654
"57",57,57,"2013-04-20 16",110.686806,50.894,9.44,0.28,110,63.5613677874321,67.3603640602607
"58",58,58,"2013-04-20 17",110.71181,36.82,9.5,0.28,110,63.9776811869605,67.9269377793951
"59",59,59,"2013-04-20 18",110.769096666667,53.1683333333333,9.36666666666667,0.28,110,63.0559799855908,66.6678850702077
"60",60,60,"2013-04-20 19",110.811806,54.192,9.24,0.27,110,60.3763221927725,60.8928867085833
"61",61,61,"2013-04-20 20",110.83681,36.98,9.2,0.27,110,60.1136546536742,60.5151708958271
"62",62,62,"2013-04-20 21",110.890278,44.622,8.72,0.27,110,57.0438649453428,55.9825811427521
"63",63,63,"2013-04-20 22",110.936806,42.846,8.4,0.27,110,55.0794627328385,52.9608546407022
"64",64,64,"2013-04-20 23",110.96181,28.12,8.3,0.27,110,54.4786808697796,52.0165651088115
"65",65,65,"2013-04-21 00",111.019096666667,43.4983333333333,7.76666666666667,0.27,111,51.3766811366701,46.9803542720616
"66",66,66,"2013-04-21 01",111.061806,40.88,7.42,0.27,111,49.4498285630254,43.7068172281742
"67",67,67,"2013-04-21 02",111.08681,35.11,7.3,0.27,111,48.7987434799604,42.5736697899054
"68",68,68,"2013-04-21 03",111.144096666667,43.92,6.86666666666667,0.27,111,46.5137618043194,38.4817484850461
"69",69,69,"2013-04-21 04",111.186806,41.912,6.56,0.264,111,44.0490996035538,32.8385882811772
"70",70,70,"2013-04-21 05",111.21181,31.65,6.5,0.26,111,43.1147298746245,30.4404552468843
"71",71,71,"2013-04-21 06",111.269096666667,44.2116666666667,6.06666666666667,0.26,111,41.0846006555162,26.348533942025
"72",72,72,"2013-04-21 07",111.311806,34.268,5.84,0.26,111,40.0586645696164,24.2081443364063
"73",73,73,"2013-04-21 08",111.33681,22.2,5.8,0.26,111,39.8801247385545,23.83042852365
"74",74,74,"2013-04-21 09",111.394096666667,33.4,5.51666666666667,0.26,111,38.6366253669546,21.1549415166266
"75",75,75,"2013-04-21 10",111.436806,28.188,5.5,0.26,111,38.5646204508437,20.9975599279782
"76",76,76,"2013-04-21 11",111.46181,22.97,5.5,0.26,111,38.5646204508437,20.9975599279782
"77",77,77,"2013-04-21 12",111.519096666667,35.3033333333333,5.7,0.26,111,39.4370276788703,22.8861389917594
"78",78,78,"2013-04-21 13",111.561806,42.514,6.08,0.26,111,41.1457089910134,26.4744392129437
"79",79,79,"2013-04-21 14",111.58681,37.41,6.3,0.26,111,42.1663569054058,28.5518761831031
"80",80,80,"2013-04-21 15",111.644096666667,51.3816666666667,7.21666666666667,0.26,111,46.6794818953005,37.2078635587671
"81",81,81,"2013-04-21 16",111.686806,48.148,7.58,0.26,111,48.5903040536663,40.6387821913029
"82",82,82,"2013-04-21 17",111.71181,30.59,7.7,0.26,111,49.2373072041988,41.7719296295717
"83",83,83,"2013-04-21 18",111.769096666667,46.535,7.73333333333333,0.25,111,47.4213319945336,37.5077945189723
"84",84,84,"2013-04-21 19",111.8116325,50.0875,7.575,0.25,111,46.6009458309789,36.0126694268122
"85",85,85,"2013-04-21 20",111.83681,45.2,7.5,0.25,111,46.2169930162869,35.3044522778942
"86",86,86,"2013-04-21 21",111.894096666667,50.4183333333333,7.16666666666667,0.25,111,44.5460635908879,32.1568205049255
"87",87,87,"2013-04-21 22",111.936806,42.832,6.88,0.25,111,43.1544373103444,29.4498571801724
"88",88,88,"2013-04-21 23",111.96181,34.23,6.8,0.25,111,42.7733984513475,28.6944255546599
"89",89,89,"2013-04-22 00",112.019096666667,43.95,6.35,0.25,112,40.6880481251857,24.4451226611522
"90",90,90,"2013-04-22 01",112.061806,41.366,6.08,0.25,112,39.4829080994608,21.8955409250475
"91",91,91,"2013-04-22 02",112.08681,32.7,6,0.25,112,39.1322957328016,21.140109299535
"92",92,92,"2013-04-22 03",112.144096666667,41.7516666666667,5.68333333333333,0.25,112,37.7728450900051,18.1498591152147
"93",93,93,"2013-04-22 04",112.186806,39.282,5.46,0.25,112,36.8407911260029,16.0409458273257
"94",94,94,"2013-04-22 05",112.21181,33.1,5.4,0.25,112,36.5940819014979,15.4743721081914
"95",95,95,"2013-04-22 06",112.269096666667,38.2333333333333,5.08333333333333,0.25,112,35.3174195851949,12.4841219238711
"96",96,96,"2013-04-22 07",112.311806,29.95,4.9,0.25,112,34.5974783645068,10.7529244487383
"97",97,97,"2013-04-22 08",112.33681,26.97,4.9,0.25,112,34.5974783645068,10.7529244487383
"98",98,98,"2013-04-22 09",112.394096666667,30.3066666666667,4.85,0.25,112,34.4035283222284,10.280779682793
"99",99,99,"2013-04-22 10",112.436806,23.984,4.96,0.25,112,34.8315692987421,11.3194981678727
"100",100,100,"2013-04-22 11",112.46181,22.23,5,0.25,112,34.9884526502241,11.6972139806289
"101",101,101,"2013-04-22 12",112.519096666667,34.5566666666667,5.36666666666667,0.25,112,36.4576902050825,15.1596089308945
"102",102,102,"2013-04-22 13",112.561806,41.248,5.88,0.25,112,38.6118360042754,20.0069618612663
"103",103,103,"2013-04-22 14",112.58681,38.9,6.1,0.25,112,39.5710193357606,22.0843988314257
"104",104,104,"2013-04-22 15",112.644096666667,55.075,7.23333333333333,0.25,112,44.8756596275334,32.7863468595192
"105",105,105,"2013-04-22 16",112.686806,45.834,7.62,0.25,112,46.8327475398213,36.437599716163
"106",106,106,"2013-04-22 17",112.71181,26.59,7.7,0.25,112,47.2475046142211,37.1930313416755
"107",107,107,"2013-04-22 18",112.769096666667,43.765,7.63333333333333,0.25,112,46.9016363758256,36.5635049870817
"108",108,108,"2013-04-22 19",112.811806,38.21,7.5,0.25,112,46.2169930162869,35.3044522778942
"109",109,109,"2013-04-22 20",112.83681,32.02,7.4,0.25,112,45.7096578167595,34.3601627460036
"110",110,110,"2013-04-22 21",112.894096666667,38.4633333333333,7,0.24,112,41.6876596135034,26.004106330545
"111",111,111,"2013-04-22 22",112.936806,35.894,6.8,0.24,112,40.7739125006574,24.1155272667637
"112",112,112,"2013-04-22 23",112.96181,31.99,6.7,0.24,112,40.3240982077611,23.1712377348731
"113",113,113,"2013-04-23 00",113.019096666667,35.7416666666667,6.35,0.24,113,38.7860439933455,19.866224373256
"114",114,114,"2013-04-23 01",113.061806,32.632,6.14,0.24,113,37.8897430714229,17.8832163562857
"115",115,115,"2013-04-23 02",113.08681,22.45,6.1,0.24,113,37.7212318491213,17.5055005435295
"116",116,116,"2013-04-23 03",113.144096666667,32.3466666666667,5.78333333333333,0.24,113,36.4117237851991,14.5152503592091
"117",117,117,"2013-04-23 04",113.186806,32.592,5.64,0.24,113,35.8330946521642,13.1617686968326
"118",118,118,"2013-04-23 05",113.21181,29.6,5.6,0.24,113,35.673159284699,12.7840528840764
"119",119,119,"2013-04-23 06",113.269096666667,33.9283333333333,5.36666666666667,0.24,113,34.7534384505114,10.5807106429983
"120",120,120,"2013-04-23 07",113.311806,27.824,5.26,0.24,113,34.3404286866578,9.5734684756483
"121",121,121,"2013-04-23 08",113.33681,19.26,5.2,0.24,113,34.1101340281577,9.00689475651393
"122",122,122,"2013-04-23 09",113.394096666667,31.5516666666667,5.2,0.24,113,34.1101340281577,9.00689475651393
