"","m","x","y"
"1",0.24,7.2,0.000157916666666667
"2",0.24,7.2,0.000157916666666667
"3",0.24,7.2,0.000157916666666667
"4",0.24,7.2,0.000157916666666667
"5",0.24,7.2,0.000157916666666667
"6",0.24,7.2,0.000157916666666667
"7",0.24,7.2,0.000157916666666667
"8",0.24,7.2,0.000157916666666667
"9",0.24,7.2,0.000157916666666667
"10",0.24,7.2,0.000157916666666667
"11",0.24,7.2,0.000157916666666667
"12",0.24,7.2,0.000157916666666667
"13",0.24,7.2,0.000157916666666667
"14",0.24,7.2,0.000157916666666667
"15",0.24,7.2,0.000157916666666667
"16",0.24,7.2,0.000157916666666667
"17",0.24,7.2,0.000157916666666667
"18",0.24,7.2,0.000157916666666667
"19",0.24,7.2,0.000157916666666667
"20",0.24,7.2,0.000157916666666667
"21",0.24,7.2,0.000157916666666667
"22",0.24,7.2,0.000157916666666667
"23",0.24,7.2,0.000157916666666667
"24",0.24,7.2,0.000157916666666667
"25",0.23,8.6,0.000220833333333333
"26",0.23,8.6,0.000220833333333333
"27",0.23,8.6,0.000220833333333333
"28",0.23,8.6,0.000220833333333333
"29",0.23,8.6,0.000220833333333333
"30",0.23,8.6,0.000220833333333333
"31",0.23,8.6,0.000220833333333333
"32",0.23,8.6,0.000220833333333333
"33",0.23,8.6,0.000220833333333333
"34",0.23,8.6,0.000220833333333333
"35",0.23,8.6,0.000220833333333333
"36",0.23,8.6,0.000220833333333333
"37",0.23,8.6,0.000220833333333333
"38",0.23,8.6,0.000220833333333333
"39",0.23,8.6,0.000220833333333333
"40",0.23,8.6,0.000220833333333333
"41",0.23,8.6,0.000220833333333333
"42",0.23,8.6,0.000220833333333333
"43",0.23,8.6,0.000220833333333333
"44",0.23,8.6,0.000220833333333333
"45",0.23,8.6,0.000220833333333333
"46",0.23,8.6,0.000220833333333333
"47",0.23,8.6,0.000220833333333333
"48",0.23,8.6,0.000220833333333333
"49",0.29,9.4,0.000264583333333333
"50",0.29,9.4,0.000264583333333333
"51",0.29,9.4,0.000264583333333333
"52",0.29,9.4,0.000264583333333333
"53",0.29,9.4,0.000264583333333333
"54",0.29,9.4,0.000264583333333333
"55",0.29,9.4,0.000264583333333333
"56",0.29,9.4,0.000264583333333333
"57",0.29,9.4,0.000264583333333333
"58",0.29,9.4,0.000264583333333333
"59",0.29,9.4,0.000264583333333333
"60",0.29,9.4,0.000264583333333333
"61",0.29,9.4,0.000264583333333333
"62",0.29,9.4,0.000264583333333333
"63",0.29,9.4,0.000264583333333333
"64",0.29,9.4,0.000264583333333333
"65",0.29,9.4,0.000264583333333333
"66",0.29,9.4,0.000264583333333333
"67",0.29,9.4,0.000264583333333333
"68",0.29,9.4,0.000264583333333333
"69",0.29,9.4,0.000264583333333333
"70",0.29,9.4,0.000264583333333333
"71",0.29,9.4,0.000264583333333333
"72",0.29,9.4,0.000264583333333333
"73",0.26,6.7,0.000247083333333333
"74",0.26,6.7,0.000247083333333333
"75",0.26,6.7,0.000247083333333333
"76",0.26,6.7,0.000247083333333333
"77",0.26,6.7,0.000247083333333333
"78",0.26,6.7,0.000247083333333333
"79",0.26,6.7,0.000247083333333333
"80",0.26,6.7,0.000247083333333333
"81",0.26,6.7,0.000247083333333333
"82",0.26,6.7,0.000247083333333333
"83",0.26,6.7,0.000247083333333333
"84",0.26,6.7,0.000247083333333333
"85",0.26,6.7,0.000247083333333333
"86",0.26,6.7,0.000247083333333333
"87",0.26,6.7,0.000247083333333333
"88",0.26,6.7,0.000247083333333333
"89",0.26,6.7,0.000247083333333333
"90",0.26,6.7,0.000247083333333333
"91",0.26,6.7,0.000247083333333333
"92",0.26,6.7,0.000247083333333333
"93",0.26,6.7,0.000247083333333333
"94",0.26,6.7,0.000247083333333333
"95",0.26,6.7,0.000247083333333333
"96",0.26,6.7,0.000247083333333333
"97",0.25,6.2,0.000220416666666667
"98",0.25,6.2,0.000220416666666667
"99",0.25,6.2,0.000220416666666667
"100",0.25,6.2,0.000220416666666667
"101",0.25,6.2,0.000220416666666667
"102",0.25,6.2,0.000220416666666667
"103",0.25,6.2,0.000220416666666667
"104",0.25,6.2,0.000220416666666667
"105",0.25,6.2,0.000220416666666667
"106",0.25,6.2,0.000220416666666667
"107",0.25,6.2,0.000220416666666667
"108",0.25,6.2,0.000220416666666667
"109",0.25,6.2,0.000220416666666667
"110",0.25,6.2,0.000220416666666667
"111",0.25,6.2,0.000220416666666667
"112",0.25,6.2,0.000220416666666667
"113",0.25,6.2,0.000220416666666667
"114",0.25,6.2,0.000220416666666667
"115",0.25,6.2,0.000220416666666667
"116",0.25,6.2,0.000220416666666667
"117",0.25,6.2,0.000220416666666667
"118",0.25,6.2,0.000220416666666667
"119",0.25,6.2,0.000220416666666667
"120",0.25,6.2,0.000220416666666667
"121",0.24,5.4,0.000146666666666667
"122",0.24,5.4,0.000146666666666667
"123",0.24,5.4,0.000146666666666667
"124",0.24,5.4,0.000146666666666667
"125",0.24,5.4,0.000146666666666667
"126",0.24,5.4,0.000146666666666667
"127",0.24,5.4,0.000146666666666667
"128",0.24,5.4,0.000146666666666667
"129",0.24,5.4,0.000146666666666667
"130",0.24,5.4,0.000146666666666667
"131",0.24,5.4,0.000146666666666667
"132",0.24,5.4,0.000146666666666667
"133",0.24,5.4,0.000146666666666667
"134",0.24,5.4,0.000146666666666667
"135",0.24,5.4,0.000146666666666667
"136",0.24,5.4,0.000146666666666667
"137",0.24,5.4,0.000146666666666667
"138",0.24,5.4,0.000146666666666667
"139",0.24,5.4,0.000146666666666667
"140",0.24,5.4,0.000146666666666667
"141",0.24,5.4,0.000146666666666667
"142",0.24,5.4,0.000146666666666667
"143",0.24,5.4,0.000146666666666667
"144",0.24,5.4,0.000146666666666667
"145",0.24,7.3,0.000230416666666667
"146",0.24,7.3,0.000230416666666667
"147",0.24,7.3,0.000230416666666667
"148",0.24,7.3,0.000230416666666667
"149",0.24,7.3,0.000230416666666667
"150",0.24,7.3,0.000230416666666667
"151",0.24,7.3,0.000230416666666667
"152",0.24,7.3,0.000230416666666667
"153",0.24,7.3,0.000230416666666667
"154",0.24,7.3,0.000230416666666667
"155",0.24,7.3,0.000230416666666667
"156",0.24,7.3,0.000230416666666667
"157",0.24,7.3,0.000230416666666667
"158",0.24,7.3,0.000230416666666667
"159",0.24,7.3,0.000230416666666667
"160",0.24,7.3,0.000230416666666667
"161",0.24,7.3,0.000230416666666667
"162",0.24,7.3,0.000230416666666667
"163",0.24,7.3,0.000230416666666667
"164",0.24,7.3,0.000230416666666667
"165",0.24,7.3,0.000230416666666667
"166",0.24,7.3,0.000230416666666667
"167",0.24,7.3,0.000230416666666667
"168",0.24,7.3,0.000230416666666667
"169",0.24,8.6,0.000264583333333333
"170",0.24,8.6,0.000264583333333333
"171",0.24,8.6,0.000264583333333333
"172",0.24,8.6,0.000264583333333333
"173",0.24,8.6,0.000264583333333333
"174",0.24,8.6,0.000264583333333333
"175",0.24,8.6,0.000264583333333333
"176",0.24,8.6,0.000264583333333333
"177",0.24,8.6,0.000264583333333333
"178",0.24,8.6,0.000264583333333333
"179",0.24,8.6,0.000264583333333333
"180",0.24,8.6,0.000264583333333333
"181",0.24,8.6,0.000264583333333333
"182",0.24,8.6,0.000264583333333333
"183",0.24,8.6,0.000264583333333333
"184",0.24,8.6,0.000264583333333333
"185",0.24,8.6,0.000264583333333333
"186",0.24,8.6,0.000264583333333333
"187",0.24,8.6,0.000264583333333333
"188",0.24,8.6,0.000264583333333333
"189",0.24,8.6,0.000264583333333333
"190",0.24,8.6,0.000264583333333333
"191",0.24,8.6,0.000264583333333333
"192",0.24,8.6,0.000264583333333333
"193",0.23,7.8,0.00028125
"194",0.23,7.8,0.00028125
"195",0.23,7.8,0.00028125
"196",0.23,7.8,0.00028125
"197",0.23,7.8,0.00028125
"198",0.23,7.8,0.00028125
"199",0.23,7.8,0.00028125
"200",0.23,7.8,0.00028125
"201",0.23,7.8,0.00028125
"202",0.23,7.8,0.00028125
"203",0.23,7.8,0.00028125
"204",0.23,7.8,0.00028125
"205",0.23,7.8,0.00028125
"206",0.23,7.8,0.00028125
"207",0.23,7.8,0.00028125
"208",0.23,7.8,0.00028125
"209",0.23,7.8,0.00028125
"210",0.23,7.8,0.00028125
"211",0.23,7.8,0.00028125
"212",0.23,7.8,0.00028125
"213",0.23,7.8,0.00028125
"214",0.23,7.8,0.00028125
"215",0.23,7.8,0.00028125
"216",0.23,7.8,0.00028125
"217",0.23,7.9,0.000303333333333333
